"id","curve_name","description","curve_data"
"1","Official DSAT Curve - Reading & Writing","Updated scoring curve for the Digital SAT Reading & Writing section, based on official practice materials. Preserves the score range.","[{""raw"":0,""lower"":200,""upper"":200},{""raw"":1,""lower"":200,""upper"":200},{""raw"":2,""lower"":200,""upper"":200},{""raw"":3,""lower"":200,""upper"":200},{""raw"":4,""lower"":200,""upper"":200},{""raw"":5,""lower"":200,""upper"":200},{""raw"":6,""lower"":200,""upper"":200},{""raw"":7,""lower"":210,""upper"":210},{""raw"":8,""lower"":220,""upper"":220},{""raw"":9,""lower"":230,""upper"":230},{""raw"":10,""lower"":250,""upper"":250},{""raw"":11,""lower"":280,""upper"":280},{""raw"":12,""lower"":290,""upper"":290},{""raw"":13,""lower"":300,""upper"":300},{""raw"":14,""lower"":330,""upper"":330},{""raw"":15,""lower"":350,""upper"":350},{""raw"":16,""lower"":380,""upper"":380},{""raw"":17,""lower"":390,""upper"":390},{""raw"":18,""lower"":400,""upper"":400},{""raw"":19,""lower"":420,""upper"":440},{""raw"":20,""lower"":430,""upper"":450},{""raw"":21,""lower"":430,""upper"":450},{""raw"":22,""lower"":440,""upper"":460},{""raw"":23,""lower"":450,""upper"":470},{""raw"":24,""lower"":460,""upper"":480},{""raw"":25,""lower"":470,""upper"":490},{""raw"":26,""lower"":480,""upper"":500},{""raw"":27,""lower"":490,""upper"":510},{""raw"":28,""lower"":490,""upper"":510},{""raw"":29,""lower"":500,""upper"":520},{""raw"":30,""lower"":510,""upper"":530},{""raw"":31,""lower"":520,""upper"":540},{""raw"":32,""lower"":530,""upper"":550},{""raw"":33,""lower"":540,""upper"":560},{""raw"":34,""lower"":550,""upper"":570},{""raw"":35,""lower"":560,""upper"":580},{""raw"":36,""lower"":570,""upper"":590},{""raw"":37,""lower"":570,""upper"":590},{""raw"":38,""lower"":580,""upper"":600},{""raw"":39,""lower"":590,""upper"":610},{""raw"":40,""lower"":600,""upper"":620},{""raw"":41,""lower"":610,""upper"":630},{""raw"":42,""lower"":610,""upper"":630},{""raw"":43,""lower"":630,""upper"":650},{""raw"":44,""lower"":640,""upper"":660},{""raw"":45,""lower"":640,""upper"":660},{""raw"":46,""lower"":680,""upper"":680},{""raw"":47,""lower"":690,""upper"":690},{""raw"":48,""lower"":700,""upper"":700},{""raw"":49,""lower"":710,""upper"":710},{""raw"":50,""lower"":720,""upper"":720},{""raw"":51,""lower"":730,""upper"":730},{""raw"":52,""lower"":760,""upper"":760},{""raw"":53,""lower"":780,""upper"":780},{""raw"":54,""lower"":800,""upper"":800}]"
"2","Official DSAT Curve - Math","Updated scoring curve for the Digital SAT Math section, based on official practice materials. Preserves the score range.","[{""raw"":0,""lower"":200,""upper"":200},{""raw"":1,""lower"":200,""upper"":200},{""raw"":2,""lower"":200,""upper"":200},{""raw"":3,""lower"":200,""upper"":200},{""raw"":4,""lower"":200,""upper"":200},{""raw"":5,""lower"":200,""upper"":200},{""raw"":6,""lower"":200,""upper"":200},{""raw"":7,""lower"":220,""upper"":220},{""raw"":8,""lower"":250,""upper"":250},{""raw"":9,""lower"":270,""upper"":270},{""raw"":10,""lower"":290,""upper"":290},{""raw"":11,""lower"":330,""upper"":330},{""raw"":12,""lower"":350,""upper"":350},{""raw"":13,""lower"":360,""upper"":360},{""raw"":14,""lower"":370,""upper"":370},{""raw"":15,""lower"":380,""upper"":380},{""raw"":16,""lower"":390,""upper"":390},{""raw"":17,""lower"":410,""upper"":410},{""raw"":18,""lower"":410,""upper"":430},{""raw"":19,""lower"":430,""upper"":440},{""raw"":20,""lower"":440,""upper"":450},{""raw"":21,""lower"":450,""upper"":460},{""raw"":22,""lower"":460,""upper"":480},{""raw"":23,""lower"":470,""upper"":490},{""raw"":24,""lower"":480,""upper"":500},{""raw"":25,""lower"":490,""upper"":520},{""raw"":26,""lower"":500,""upper"":540},{""raw"":27,""lower"":510,""upper"":550},{""raw"":28,""lower"":530,""upper"":560},{""raw"":29,""lower"":540,""upper"":570},{""raw"":30,""lower"":560,""upper"":590},{""raw"":31,""lower"":570,""upper"":600},{""raw"":32,""lower"":590,""upper"":620},{""raw"":33,""lower"":610,""upper"":640},{""raw"":34,""lower"":620,""upper"":650},{""raw"":35,""lower"":630,""upper"":660},{""raw"":36,""lower"":670,""upper"":670},{""raw"":37,""lower"":690,""upper"":690},{""raw"":38,""lower"":710,""upper"":710},{""raw"":39,""lower"":730,""upper"":730},{""raw"":40,""lower"":750,""upper"":750},{""raw"":41,""lower"":780,""upper"":780},{""raw"":42,""lower"":790,""upper"":790},{""raw"":43,""lower"":800,""upper"":800},{""raw"":44,""lower"":800,""upper"":800}]"
