"id","user_id","title","description","created_at","updated_at"
"1","5b4c2783-8afa-420e-b3a5-f761b472a503","SAT","","2025-08-25T22:22:07.351328+00:00","2025-08-25T22:22:07.351328+00:00"
"2","a401eb6c-89fe-4325-b0bc-f682c00f6f58","Mock Test","Vocabulary from Mock Test","2025-09-10T18:38:25.236469+00:00","2025-09-10T18:38:25.236469+00:00"
"3","203dafeb-518f-4f26-8bb2-3552f22d5647","My Vocabulary","Personal vocabulary collection","2025-09-12T17:14:32.052123+00:00","2025-09-12T17:14:32.052123+00:00"
"4","a401eb6c-89fe-4325-b0bc-f682c00f6f58","My Vocabulary","Personal vocabulary collection","2025-09-13T16:33:55.765109+00:00","2025-09-13T16:33:55.765109+00:00"
"5","c97a96e0-0bc7-413f-a265-77fa11b79792","vocab: october, march, june 2023","","2025-10-05T18:15:44.177206+00:00","2025-10-05T18:15:44.177206+00:00"
